date change,STATUS,voorveerkit,achterveerkit,combikit,MERK,TYPE,Year,FORK HYPERPRO NR,FORK HYPERPRO OIL,OILLEVEL,FORK SPRING PRELOAD,FORK STATIC SAG,FORK COMPRESION,FORK REBOUND,FORK EXTRA INFO,REAR HYPERPRO NR,REAR SPRING PRELOAD,REAR STATIC SAG,REAR COMPRESION,REAR REBOUND,REAR EXTRA INFO,PROD_EXTRA_INF,chassis nummer,eu nummer
,,SP-BU12-SSA006,SP-BU12-SSB006,SP-BU12-SSC006,BUELL,S3 (T) THUNDERBOLT (TOURING) (WP F + R),97 - 98 <,0492,SAE 15,170 MM,NOT ADJUSTABLE,27 MM,POS. 9 (+/- 2) FROM 30,POS. 9 (+/- 2) FROM 30,COMPRESSION = RIGHT                                    REBOUND = LEFT,0087,22 MM,17 MM,POS. 1,POS. 4 TO 6,,PULL SHOCK INLEGVEL TOEVOEGEN,,
2020-02-25,,SP-BU12-SSA008,SP-BU12-SSB008,SP-BU12-SSC008,BUELL,M2 CYCLONE (CONV SHOWA FRONT + REAR),99-02,0588,SAE 10,140 MM,3 - 5 RINGSOUT,23 MM,NOT ADJUSTABLE,1 (+/- 0.5) TURN OPEN,,1011,25 MM,15 MM,NOT ADJUSTABLE,1.5 +/- 0.5 TURN OPEN,,PULL SHOCK INLEGVEL TOEVOEGEN,,
,,SP-BU12-SSA005,SP-BU12-SSB005,SP-BU12-SSC005,BUELL,S2(T) THUNDERBOLT (TOURING) (WP F + R),94 - 96 <,0492,"SAE 7,5",160 MM,NOT ADJUSTABLE,27 MM,POS. 2 TO 4,POS. 6 - 7,,0087,22 MM,17 MM,POS. 1,POS. 4 TO 6,,PULL SHOCK INLEGVEL TOEVOEGEN,,
2020-04-21,,SP-CA10-SSA001,SP-CA10-SSB001,SP-CA10-SSC001,CAGIVA,RAPTOR 650 / 1000,99-05,1488,SAE 10,150 MM,NUT 15 MM,25 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,,0379,18 MM,10 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,,,M2,e3*92/61*0018
,,SP-CA01-SSA001,,,CAGIVA,FRECCIA 125 C12R,89>,2096,SAE 15,150 MM,,,,,,,,,,,,,5PE,ohne
2012-11-02,,SP-CA03-SSA001,,,CAGIVA,ALAZURRA 350,84>,1045,SAE 10,160 MM,,,,,,,,,,,,,,
2020-04-21,UD,SP-CA05-SSA001UD,SP-CA05-SSB001UD,SP-CA05-SSC001UD,CAGIVA,CANYON 500/600,96-02,0247+BUS,SAE 15,190 MM,NOT ADJUSTABLE,28 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,0247+BUS EN RING 102MM,57-150-175,6 MM,25 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,,,,
2012-11-02,,SP-CA03-SSA002,,,CAGIVA,T4 350/500 R/E,87-91,2078,SAE 10,160 MM,,,,,,,,,,,,,,
2020-04-21,,SP-CA07-SSA001,,,CAGIVA,ELEFANT 750 / IE / LUCKY EXPLORER,93-96,2040,"SAE 2,5",180 MM,,,,,,,,,,,,,,
,,SP-CA06-SSA001,,,CAGIVA,ALAZURRA 650,84>,1045,SAE 10,160 MM,,,,,,,,,,,,,3 M,
2020-04-21,L,,SP-CA10-SSB003,,CAGIVA,RAPTOR 650 / 1000 25 MM LOWER,99-05,,,,,,,,,1296,3 MM,30-35 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,,,,
2020-06-25,,SP-CA09-SSA005,,,CAGIVA,ELEFANT 900C UPSD (SHOWA 45mm),95>,2064,2X SAE 5,120 MM,,,NOT ADJUSTABLE,NOT ADJUSTABLE,,,,,,,,,5B,
2020-04-21,,SP-CA10-SSA002,SP-CA10-SSB002,SP-CA10-SSC002,CAGIVA,T 1000 NAVIGATOR,00-05,0523,SAE 15,500CC,NOT ADJUSTABLE,35 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,500 CC OIL PER FORK,0705,11 MM,20 MM,NOT ADJUSTABLE,10 CLICKS,,,,
,,SP-CA09-SSA002,,,CAGIVA,ELEFANT 900 IE LUCKY,90-91,2043,"SAE 7,5",180 MM,,,,,,,,,,,,,,
,,SP-CA09-SSA004,,,CAGIVA,ELEFANT 900 UPSD,93-95,2014,SAE 5,120 MM,,,,,,,,,,,,,5B,
,,SP-CA09-SSA001,SP-CA09-SSB001,SP-CA09-SSC001,CAGIVA,GRAND CANYON,97-00,0523,SAE 15,300 MM,5 RINGS,45 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,,0865,11 MM,15 MM,NOT ADJUSTABLE,17 (+/-3) CLICKS OPEN,,,,
,,SP-CA09-SSA003,,,CAGIVA,ELEFANT 900 LUCKY,93>,2040,"SAE 2,5",180 MM,,,,,,,,,,,,,6B,
2022-07-06,ud,,,,CF MOTO,250 SR,2022,,,,,,,,,,,,,,,,,
2025-02-24,ud,,,,CF MOTO,450 MT,2024,,,,,,,,,,,,,,,,,
2023-02-16,L,,SP-CF07-SSB002,,CF MOTO,700 CL-X Heritage 30mm lower,21-23,,SAE 15,100 MM,Mininal preload,,10 klicks open,10 klicks open,Mount the fork 10mm Throught the Triple tree,0182,Minimal,45-50 mm,NOT ADJUSTABLE,10 klicks open,,,CF700-2,e13*168/2013*01187*00
2025-08-18,ud,,,,CF MOTO,CF650 GT,21-24,,,,,,,,,,5mm,,,,,,,
2025-08-18,L,,SP-CF06-SSB001,,CF MOTO,650 MT 25 mm lower,20-24,,SAE 15,190 MM,Not adjustable,,Not adjustable,8 klicks open,Raise the fork maximum 15mm through the triple tree,0668,5mm,30 mm,NOT ADJUSTABLE,6 klicks open,,,CF650-3F,e13*168/2013*01064*00
2023-02-21,,,SP-CF06-SSB005,,CF MOTO,650 MT,16-19,,,,,,,,,0496,9 mm,10-15 mm,NOT ADJUSTABLE,4-6 klicks open,,,,
2023-02-16,,SP-CF07-SSA001,SP-CF07-SSB001,SP-CF07-SSC001,CF MOTO,700 CL-X Heritage,21-23,1474,SAE 15,100 MM,2 rings out,40 MM,10 klicks open,10 klicks open,"mount the springs with the conical side up (for fitting,small diameter up)",0462,13 MM,15 MM,NOT ADJUSTABLE,10 KLICKS OPEN,,,,
2023-02-16,L,,SP-CF06-SSB003,,CF MOTO,650 MT 25 mm lower,16-19,,,,,,,,,0668,5mm,30 mm,NOT ADJUSTABLE,6 klicks open,,,,
2025-08-18,,,SP-CF06-SSB004,,CF MOTO,650 MT,20-24,,SAE 15,190 MM,Not adjustable,,Not adjustable,8 klicks open,,0496,9 mm,10-15 mm,NOT ADJUSTABLE,4-6 klicks open,,,CF650-3F,e13*168/2013*01064*00
2023-02-16,ud,,,,CF MOTO,700 CL-X Sport,21-23,,,,,,,,,,,,,,,,,
2024-11-13,,SP-CF08-SSA002,SP-CF08-SSB002,SP-CF08-SSC002,CF MOTO,800 MT,21-24,1866,2x SAE 15,100 MM,4 rings out,40mm,10 klicks,10 klicks,,1587,11 mm,10-15 mm,NOT ADJUSTABLE,8 klicks,,,CF-800-5,
2025-08-18,ud,,,,CF MOTO,CF800 NK,23-25,,,,,,,,,,,,,,,,,
2024-11-13,L,SP-CF08-SSA001,SP-CF08-SSB001,SP-CF08-SSC001,CF MOTO,800 MT 25mm lower,21-24,1864,2x SAE 15,100 MM,Minimal,75mm,10 klicks,10 klicks,,1588,10-12 mm,30 mm,NOT ADJUSTABLE,10 klicks,,,CF-800-5,
2025-10-06,ud,,,,CHANG JIANG,CJ 650 B,18-24,,,,,,,,,,,,,,,,,
2016-07-06,UD,SP-CM04-SSA001,,SB-CM04-0Y1,CMC,XY 400,,1035+10MM,SAE 15,170 MM,NOT ADJUSTABLE,25 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,MAKE NEW SPACER OF 35 MM OR ADD 10MM RINGS,1143,POS 1,10 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,,,,
2016-07-06,UD,SP-CM04-SSA002,,SB-CM04-0Y2,CMC,SCRAMBLER,,2120,SAE 15,145 MM,NOT ADJUSTABLE,25 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,REMOVE THE ORIGINAL PRELOAD BUSH OF 169 MM,1143,POS 1,10 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,,,,
,,SP-DU09-SSA016,SP-DU09-SSB016,SP-DU09-SSC016,DUCAT (CIRCUIT) OHLINS FORK 46 MM & OHLINS SHOCK,748/916/925/955/995 RACING / CORSA,94-03,0434,SAE 5,145 MM,4 - 6 RINGS,24 MM,6 - 10 CLICKS OPEN,6 - 10 CLICKS OPEN,USE ORIGINAL PRELOAD BUSH (LENGTH + 398),0400,(10 - 12 MM),10 - 15 MM,10 + CLICKS OPEN,+/- 4 - 10 CLICKS OPEN,,,ZDM916S,
2023-10-06,,SL-DU09-SSA001,,,DUCATI,"999/749 LINEAR 8,5 N/mm",03-06,1282,SAE 10,140 MM,2-3 RINGS OUT,27 MM,8 KLICKS OPEN,9 KLICKS OPEN,,,,,,,,,,
2023-10-06,,SL-DU09-SSA002,,,DUCATI,999/749 LINEAR 9 N/mm,03-06,1283,SAE 10,140 MM,2-3 RINGS OUT,27 MM,8 KLICKS OPEN,9 KLICKS OPEN,,,,,,,,,,
2025-01-31,,SP-DU09-SSA037,,,DUCATI,STREETFIGHTER V2/V4,22-24,1488,"2x SAE 7,5",150 MM,30 kliks in,26 MM,4 Turns out,"2,5 Turns open",,,,,,,,,,
2025-01-31,,SL-DU09-SSA024,,,DUCATI,"STREETFIGHTER V2/V4 LINEAR 8,5 N/mm",22-24,1286,"2x SAE 7,5",150 MM,30 kliks in,26 MM,4 Turns out,"2,5 Turns open",,,,,,,,,,
2024-08-28,UD,,,,DUCATI,MULTISTRADA V4,22-24,,,,,,,,,,,,,,,,,
2017-05-11,,SP-DU10-SSA005,,,DUCATI,1098 / 848 (showa),07-13,1086,"SAE 7,5",140 MM,4-5 RINGS OUT,27 MM,"0,75 TURN OPEN",7 KLICKS OPEN,,,,,,,,,,
2017-09-11,,SP-DU10-SSA006,SP-DU10-SSD006,SP-DU10-SSE006,DUCATI,GT 1000,07-09,1214,SAE 15,110 MM,NOT ADJUSTABLE,24 MM,NOT ADJUSTABLE,NOT ADJUASTABLE,RIGHT FORK IS REBOUND LEFT FORK IS COMPRESSION,1143,14 MM,12 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,,,ZDCMC10AA,
2025-01-31,,SL-DU09-SSA025,,,DUCATI,STREETFIGHTER V2/V4 LINEAR 9 N/mm,22-24,1287,"2x SAE 7,5",150 MM,30 kliks in,26 MM,4 Turns out,"2,5 Turns open",,,,,,,,,,
2025-01-31,,SL-DU09-SSA026,,,DUCATI,"STREETFIGHTER V2/V4 LINEAR 9,5 N/mm",22-24,1288,"2x SAE 7,5",150 MM,30 kliks in,26 MM,4 Turns out,"2,5 Turns open",,,,,,,,,,
2025-01-31,,SL-DU09-SSA027,,,DUCATI,STREETFIGHTER V2/V4 LINEAR 10 N/mm,22-24,1289,"2x SAE 7,5",150 MM,30 kliks in,26 MM,4 Turns out,"2,5 Turns open",,,,,,,,,,
2023-10-06,,SL-DU09-SSA004,,,DUCATI,999/749 LINEAR 10 N/mm,03-06,1285,SAE 10,140 MM,4-5 RINGS OUT,27 MM,8 KLICKS OPEN,9 KLICKS OPEN,,,,,,,,,,
2013-11-14,,SP-DU10-SSA008,SP-DU10-SSB008,SP-DU10-SSC008,DUCATI,MONSTER S4R,04-07,1085,SAE 10,120 MM,1 - 3 RINGS OUT,24 MM,"0,25 turn open",10 CLICKS (+/-3),,0163,19 MM,10 MM,1 Turn open,"0,5 Turn open",,,ZDMM4,
2013-11-14,,SP-DU10-SSA009,SP-DU10-SSB009,SP-DU10-SSC009,DUCATI,MONSTER S4R,2008,1085,SAE 10,120 MM,1 - 3 RINGS OUT,24 MM,"0,25 turn open",10 CLICKS (+/-3),,0462,15 MM,10 MM,,,,,,
2023-10-06,,SL-DU09-SSA003,,,DUCATI,"999/749 LINEAR 9,5 N/mm",03-06,1284,SAE 10,140 MM,4-5 RINGS OUT,27 MM,8 KLICKS OPEN,9 KLICKS OPEN,,,,,,,,,,
2016-12-06,,,SP-DU04-SOB001,,DUCATI,M400 + OHLINS SHOCK,93 >,NR; DIVERS,SAE; DIVERS,DIVERS MM,DIVERS,DIVERS MM,DIVERS,DIVERS,,0460,16  MM,10 MM,AS DESIRED,AS DESIRED,,,ZDM400M,
2016-03-29,,SP-DU04-SSA004,,,DUCATI,MONSTER 400 (IE),04-08,1197,SAE 5,120 MM,NOT ADJUSTABLE,25 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,,,,,,,,,,
,,SP-DU04-SSA002,SP-DU04-SSB002,SP-DU04-SSC002,DUCATI,M 400 / MARZOCCHI UPSD + BOGE SHOCK,94 - 97 >,0276,"SAE 2,5",100 MM,,19 MM,,,MOUNT FORKLEGS 5 RINGS THROUGH UPPER TRIPLE CLAMP,0163,16 MM,10 MM,NOT ADJUSTABLE,CLICKS 20 TO 25,,,,
,,SP-DU04-SSA001,SP-DU04-SSB001,SP-DU04-SSC001,DUCATI,400 SS SHOWA UPSD + SHOCK,91 - 94<,0016,"SAE 2,5",120 MM,--,23 MM,--,--,,0027,17 MM,10 MM,1 TURN OPEN,"1,75 TURNS OPEN",,,ZDM750SC,
2020-03-24,UD,SP-DU04-SSA00UD,,,DUCATI,SCRAMBLER SIXTY2,16-20,,,,,,,,,,,,,,,,,
,,SP-DU05-SSA001,,,DUCATI,500 PANTAH,79-86,2087,"SAE 7,5",150 MM,,,,,,,,,,,,,,
2024-04-12,,SP-DU07-SWA002,SP-DU07-SWB002,SP-DU07-SWC002,DUCATI,750 SS MARZOCCHI UPSD - WP 36 MM SHOCK,95-97,0277,"SAE 2,5",95 MM,,22 MM,,,MOUNT FORKLEGS 25 MM TROUGH UPPER TRIPPLE CLAM MOUNT CLIP-ONS 20 MM BELOW UPPER TRIPPLE CLAMP,0244,(16 TO 18 MM),10 - 23 MM,POS. 1 TO 4,POS. 3 TO 10,FOR WP 36 MM.,,ZDM750SC,
2024-04-12,,SP-DU07-SOA002,SP-DU07-SOB002,SP-DU07-SOC002,DUCATI,750 SS MARZOCCHI UPSD + OHLINS SHOCK,95-97,0277,"SAE 2,5",120 MM,NOT ADJUSTABLE,23 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,,0345,18 MM,10 MM,AS DESIRED,AS DESIRED,,,ZDM750SC,ohne
,,SP-DU07-SSA001,SP-DU07-SSB001,SP-DU07-SSC001,DUCATI,750 SS SHOWA UPSD + SHOCK,91 - 94<,0016,"SAE 2,5",120 MM,--,23 MM,--,--,,0027,17 MM,10 MM,1 TURN OPEN,"1,75 TURNS OPEN",,,ZDM750SC,
,,SP-DU07-SOA001,SP-DU07-SOB001,SP-DU07-SOC001,DUCATI,750 SS SHOWA UPSD + OHLINS SHOCK,91 - 94 <,0016,"SAE 2,5",120 MM,NOT ADJUSTABLE,23 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,,0345,18 MM,10 MM,AS DESIRED,AS DESIRED,,,ZDM750SC,ohne
2016-03-29,,SP-DU07-SSA014,,,DUCATI,MONSTER 750 IE,2002,1197,SAE 5,120 MM,NOT ADJUSTABLE,25 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,,,,,,,,,,
,,SP-DU07-SWA003,SP-DU07-SWB003,SP-DU07-SWC003,DUCATI,750 SPORT + 900 SPORT MARZOCHI 40MM / WP SHOCK,89 - 90 <,0205,SAE 10,140 MM,NOT ADJUSTABLE,21 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,,0244,(16 TO 18 MM),10 - 15 MM,POS 1 TO 4,POS. 2 TO 10,,,ZDM750S,
,,SP-DU07-SWA001,SP-DU07-SWB001,SP-DU07-SWC001,DUCATI,750 SS SHOWA UPSD + WP 36 MM SHOCK,91 - 94 <,0016,"SAE 2,5",120 MM,,23 MM,,,,0244,17 MM,10 - 15 MM,AS DESIRED,AS DESIRED,,,ZDM750SC,
2024-04-12,,SP-DU07-SSA002,SP-DU07-SSB002,SP-DU07-SSC002,DUCATI,750 SS MARZOCCHI UPSD - SHOWA SHOCK,95-97,0277,"SAE 2,5",95 MM,--,22 MM,--,--,MOUNT FORKLEGS 25 MM TROUGH UPPER TRIPPLE CLAMP MOUNT CLIP-ONS 20 MM BELOW UPPER TRIPPLE CLAMP.,0027,17 MM,10 MM,OPEN,1 TURN OPEN,,,ZDM750SC,
2017-12-15,,SP-DU06-SSA009,SP-DU06-SSB009,SP-DU06-SSC009,DUCATI,MONSTER 695,07-08,1197,SAE 5,120 MM,NOT ADJUSTABLE,25 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,,0163,16 MM,10 MM,NOT ADJUSTABLE,CLICKS 20 TO 25,,,,
,,SP-DU07-SSA010,SP-DU07-SSB010,SP-DU07-SSC010,DUCATI,"750 SS I.E (INJECTION) /  SHOWA UPSD, SACHS SHOCK",99 - 02,0623,"SAE 2,5",*130 MM,NOT ADJUSTABLE,24 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,"* BECAUSE FORK IS OVERDAMPENED; TRY LEFT LEG; OIL LEVEL 100, RIGHT LEG; 50 CC OF OIL",0027,17 MM,10 MM,SOFT,MIDDLE,,,ZDM750SC,
2018-05-09,,SP-DU07-SSA008,SP-DU07-SSB008,SP-DU07-SSC008,DUCATI,748 SHOWA FORK & OHLINS SHOCK,94-03,1488,SAE 5,140 MM,4 - 6 RINGS,22 MM,OPEN,5 - 7 CLICKS OPEN,,0297,25 MM,10 - 15 MM,10 + CLICKS OPEN,+/- 4 - 5 CLICKS OPEN,,,ZDM784S,
2018-05-09,,SP-DU07-SSA009,SP-DU07-SSB009,SP-DU07-SSC009,DUCATI,748 SP CIRCUIT 95> SHOWA + OHLINS,94-03,1488,SAE 5,140 MM,4 - 6 RINGS,22 MM,OPEN,5 - 7 CLICKS OPEN,,0400,10 - 12 MM,10 - 15 MM,10 + CLICKS OPEN,+/- 4 - 10 CLICKS OPEN,,,ZDM748S,
2017-04-14,,SP-DU07-SSA006,SP-DU07-SSB006,SP-DU07-SSC006,DUCATI,M 750 MARZOCCHI UPSD + BOGE SHOCK,97-01,0276,"SAE 2,5",100 MM,,19 MM,,,MOUNT FORKLEGS 5 RINGS THROUGH UPPER TRIPLE CLAMP,0163,16 MM,10 MM,NOT ADJUSTABLE,CLICKS 20 TO 25,,,ZDM750M,
,,SP-DU07-SSA011,,,DUCATI,750,75-85,0083,"SAE 7,5",150 MM,,,,,,,,,,,,,,
,,SP-DU07-SSA004,SP-DU07-SSB004,SP-DU07-SSC004,DUCATI,750 SPORT MARZOCCHI 40MM F + R,89 - 90 <,0205,SAE 10,140 MM,NOT ADJUSTABLE,21 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,,0244,17 MM,10 - 15 MM,AS DESIRED,AS DESIRED,,,ZDM750S,
,,SP-DU07-SSA005,SP-DU07-SSB005,SP-DU07-SSC005,DUCATI,750 PASO  /  MARZOCCHI M1R L=775 MM,88 - 90 <,0173,"SAE 2,5",130 MM,NOT ADJUSTABLE,24 MM,NOT ADJUSTABLE,POS. 2 - 3,,0155,21 MM,10 MM,NOT ADJUSTABLE,POS. 30 - 35,,,,
2024-04-12,,SP-DU07-SSA003,SP-DU07-SSB003,SP-DU07-SSC003,DUCATI,750 SS MARZOCCHI UPSD - BOGE SHOCK,96-97,0277,"SAE 2,5",95 MM,--,22 MM,--,--,MOUNT FORKLEGS 25 MM TROUGH UPPER TRIPPLE CLAMP MOUNT CLIP-ONS 20 MM BELOW UPPER TRIPPLE CLAMP.,0278,18 MM,5 - 10 MM,30 - 40 CLICKS OPEN,OPEN CLICKS 25,,,ZDM750SC,
,,SP-DU06-SSA003,,,DUCATI,600 PANTAH,80-87,2087,"SAE 7,5",150 MM,,,,,,,,,,,,,,
2016-12-06,,,SP-DU06-SOB001,,DUCATI,M600 + OHLINS SHOCK,93 >,NR; DIVERS,SAE; DIVERS,DIVERS MM,DIVERS,DIVERS MM,DIVERS,DIVERS,,0460,18 MM,10 MM,AS DESIRED,AD DESIRED,,,ZDM600M,
,,SP-DU06-SSA001,SP-DU06-SSB001,SP-DU06-SSC001,DUCATI,"600 SS / MARZOCCHI UPSD,",94 >,0277,"SAE 2,5",100 MM,,21 MM,,,MOUNT FORKLEGS 25 MM  TROUGH UPPER TRIPPLE CLAMP. MOUNT CLIP-ONS 20 MM BELOW UPPER TRIPPLE CLAMP.,0278,18 MM,5 - 10 MM,30 TO 40 CLICKS OPEN,OPEN (CLICKS = 25),,,ZDM600S,
2018-05-09,,SP-DU07-SSA007,SP-DU07-SSB007,SP-DU07-SSC007,DUCATI,748 SHOWA FORK & SHOCK,94-03,1488,SAE 5,140 MM,4 - 6 RINGS,22 MM,OPEN,7 - 9 CLICKS OPEN,,0256,25 MM,10 - 15 MM,OPEN,OPEN,,,,
,,SP-DU06-SSA002,SP-DU06-SSB002,SP-DU06-SSC002,DUCATI,M 600 / MARZOCCHI UPSD + BOGE SHOCK,94 - 97 >,0276,"SAE 2,5",100 MM,,19 MM,,,MOUNT FORKLEGS 5 RINGS THROUGH UPPER TRIPLE CLAMP,0163,16 MM,10 MM,NOT ADJUSTABLE,CLICKS 20 TO 25,,,ZDM600M,
2024-03-01,,SP-DU06-SSA027,,,DUCATI,MONSTER 659,18-21,1502,SAE 15,130 MM,NOT ADJUSTABLE,30 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,Left fork needs HP-T57,,,,,,,Fork needs tool HP-T57,,
2023-02-07,,SP-DU06-SSA026,,,DUCATI,MULTISTRADA 620,05-07,1123,"SAE 7,5",140 MM,,30 MM,,,,,,,,,,,,
,,SP-DU06-SSA004,,,DUCATI,650 PANTAH,80-87,2087,"SAE 7,5",150 MM,,,,,,,,,,,,,,
,,SP-DU06-SSA005,SP-DU06-SSB005,SP-DU06-SSC005,DUCATI,MONSTER 620 ie,02-06,1197,SAE 5,120 MM,,25 MM,,,MOUNT FORKLEGS 30 MM  THROUGH UPPER TRIPLE CLAMP (original = 20 mm),0163,16 MM,10 MM,NOT ADJUSTABLE,CLICKS 20 TO 25,,,,
2023-10-24,ud,,,,DUCATI,750 GT Ceriani fork brembo connection 38mm,1974,,,,,,,,,,,,,,,,,
2017-01-27,,SP-DU06-SSA007,SP-DU06-SSB007,SP-DU06-SSC007,DUCATI,MONSTER 696 (showa),08-11,1373/1172,SAE 10,140 MM,NOT ADJUSTABLE,25 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,SHORT SPRING RIGHT AND LONG SPRING LEFT,1224,15 MM,10 MM,NOT ADJUSTABLE,8-10 KLICKS,,,,
2025-10-17,,SL-DU07-SSA003,,,DUCATI,"750 SS ie LINEAR 9,5 N/mm",01-02,2115,SAE 10,140 MM,,,,,,,,,,,,,,
2017-02-21,,SP-DU06-SSA008,SP-DU06-SSB008,SP-DU06-SSC008,DUCATI,MONSTER 696 (marzocchi),12-14,1077,SAE 15,340CC,NOT ADJUSTABLE,25 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,RIGHT FORK CARTRIDGE ONLY,1224,15 MM,10 MM,NOT ADJUSTABLE,8-10 KLICKS,,,,
2016-01-20,,SL-DU07-SSA001,,,DUCATI,"748 SPORT LINEAR 8,3 N/mm",94-03,2109,SAE 10,140 MM,,,,,,,,,,,,,,
2016-01-20,,SL-DU07-SSA002,,,DUCATI,"748 SPORT LINEAR 9,5 N/mm",94-03,2115,SAE 10,140 MM,,,,,,,,,,,,,,
2017-08-15,,SP-DU09-SSA027,,,DUCATI,ST4(s),04-05,1421,SAE 5,120 MM,5 RINGS OUT,23 MM,,12 (+/-2) CLICKS,,,,,,,,,,
2022-01-25,,SP-DU09-SSA002,SP-DU09-SSB002,SP-DU09-SSC002,DUCATI,900 SS,98 -99,0623,SAE 5,120 MM,3 - 5 RINGS OUT,24 MM,NOT ADJUSTABLE,12 CLICKS (+/-2),,0027,19 MM,10 MM,OPEN (=MIN),1.75 CLICKS OPEN,,,S200AA,
,,SP-DU09-SSA003,SP-DU09-SSB003,SP-DU09-SSC003,DUCATI,900 SPORT MARZOCCHI 40MM F + R,89 - 90 <,0205,SAE 10,140 MM,NOT ADJUSTABLE,21 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,,0244,17 MM,10 - 15 MM,AS DESIRED,AS DESIRED,,,ZDM906SC,
2022-12-13,,SP-DU08-SSA016,,,DUCATI,SCRAMBLER 800 URBAN MOTARD,2022,1211,SAE 5,120 MM,NOT ADJUSTABLE,33 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,AIRCHAMBER MEASURED FROM TOP OF INNERTUBE / yes the spring should be 10 mm shorter then OEM. Use tool HP-T57 to open the cap on innertube.,,,,,,,needs tool HP-T57 to open the forktube,,
2016-04-27,,SP-DU09-SSA012,SP-DU09-SSB012,SP-DU09-SSC012,DUCATI,ST4,99-03,0523,SAE 5,120 MM,4 RINGS OUT,23 MM,,12 (+/-2) CLICKS,,0614,POS. 3 - 4,12 MM,1 - 2 T. OPEN,0.5 - 1 T. OPEN,,,,
,,SP-DU09-SSA006,SP-DU09-SSB006,SP-DU09-SSC006,DUCATI,906 PASO  /  MARZOCCHI M1R L=795 MM,89 - 91 < FRAMENUMBERS 000001 TO 001302,0409,SAE 10,150 MM,NOT ADJUSTABLE,26 MM,NO AIRPRESSURE,POS. 2 (OR 3),USE STD. ADAPTER-RING UNDER LEFT SPRING / NO STANDARD PRELOAD BUSH,0370,+/- 20 MM,12 MM,MINIMUM = OPEN,10 - 12 CLICKS OPEN,MOUNTED LENGTH; +/- 215 MM,,ZDM906PC,
2016-03-29,,SP-DU08-SSA008,,,DUCATI,MONSTER 800,04-07,1197,SAE 5,120 MM,NOT ADJUSTABLE,25 MM,NOT ADJUSTABLE,NOT ADJUSTABLE,,,,,,,,,,
2024-12-18,,SP-DU09-SSA008,SP-DU09-SSB008,SP-DU09-SSC008,DUCATI,907 IE  (WITH MARZOCCHI M1R FORK),92<,0409,"SAE 7,5",120 MM,NOT ADJUSTABLE,25 MM,SEE REBOUND,POS. 2,USE STD. ADAPTER-RING UNDER LEFT SPRING / NO STANDARD PRELOAD BUSH,0122,17 MM,12 MM,POS. 0 = OPEN,35 *5 CLICKS OPEN,,,ZDM906PI2,
2022-01-25,,SP-DU09-SSA010,SP-DU09-SSB010,SP-DU09-SSC010,DUCATI,"M 900 MARZOCCHI UPSD, BOGE SHOCK (FM>009915)",96-97,0277,SAE 10,110 MM,,23 MM,,,,0163,17 MM,10 MM,,2 TURNS OPEN,,,ZDM900M,
2021-02-04,,SP-DU09-SSA011,SP-DU09-SSB011,SP-DU09-SSC011,DUCATI,ST2,97-00,0523,SAE 5,120 MM,4 RINGS OUT,23 MM,,12 (+/-2) CLICKS,,0522,22 MM,12 MM,MAX. OPEN,0.25 - 0.5 T. OPEN,,,,
,,SP-DU09-SSA004,,,DUCATI,MHR 900  (MARZOCCHI 38 MM),82-86<,0083,"SAE 7,5",130 MM,± 10 KLICKS,15 MM,P=2-4,+/- 7 KLICKS,FORK LENGHT = 775 MM,,,,,,,,,
,,SP-DU09-SOA001,SP-DU09-SOB001,SP-DU09-SOC001,DUCATI,900 SS SHOWA UPSD + OHLINS SHOCK,91 - 96 <,0026,"SAE 7,5",115 MM,5 RINGS OUT,23 MM,8 CLICKS OPEN,6 CLICKS OPEN,,0345,18 MM,10 MM,AS DESIRED,AS DESIRED,,,ZDM906C2,
